exp,id,condition,item,question,resp,rt,resp_lower,resp_coded
dep_abcd,1612213183,Distractor,1,Does Ann like to toogid? ,No,15472,no,1
dep_abcd,1612213183,Distractor,2,Does Bea have a hondart? ,Yes,20003,yes,1
dep_abcd,1612213183,Distractor,4,Does Dana love to flomp? ,Yes,8222,yes,1
dep_abcd,1612213183,Distractor,5,Does Eva hate zeptons? ,Yes,11197,yes,1
dep_abcd,1612213183,Distractor,6,Does Faye have a taplor? ,No,8427,no,1
dep_abcd,1612213183,Distractor,7,Does Gabe enjoy tuffros? ,Yes,10089,yes,1
dep_abcd,1612213183,Distractor,9,Does Ivan know bezido? ,No,9190,no,1
dep_abcd,1612213183,Distractor,10,Does Jill like to yoffa? ,Yes,7483,yes,1
dep_abcd,1612213183,Distractor,11,Does Katie care about linters? ,No,8331,no,1
dep_abcd,1612213183,Distractor,12,Does Leah enjoy folphies? ,Yes,7117,yes,1
dep_abcd,1612213183,Distractor,14,Does Nate know karink? ,Yes,6035,yes,1
dep_abcd,1612213183,Distractor,15,Does Owen like bisloor? ,No,7404,no,1
dep_abcd,1612213183,Distractor,16,Does Peter hate flungo? ,Yes,5916,yes,1
dep_abcd,1612213183,Distractor,17,Does Quinn care about vanoir? ,Yes,6387,yes,1
dep_abcd,1612213183,Distractor,19,Does Steve love pavarons? ,Yes,6035,yes,1
dep_abcd,1612213183,Distractor,20,Is Tracy a tarbon? ,No,16970,no,1
dep_abcd,1612213274,Distractor,1,Does Ann like to toogid? ,No,12092,no,1
dep_abcd,1612213274,Distractor,2,Does Bea have a hondart? ,Yes,6990,yes,1
dep_abcd,1612213274,Distractor,4,Does Dana love to flomp? ,Yes,6166,yes,1
dep_abcd,1612213274,Distractor,5,Does Eva hate zeptons? ,Yes,5702,yes,1
dep_abcd,1612213274,Distractor,6,Does Faye have a taplor? ,No,6149,no,1
dep_abcd,1612213274,Distractor,7,Does Gabe enjoy tuffros? ,Yes,5485,yes,1
dep_abcd,1612213274,Distractor,9,Does Ivan know bezido? ,No,7596,no,1
dep_abcd,1612213274,Distractor,10,Does Jill like to yoffa? ,Yes,5958,yes,1
dep_abcd,1612213274,Distractor,11,Does Katie care about linters? ,No,4030,no,1
