,#,,,,,
indep_cdab,1612213096,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,32704
indep_cdab,1612213096,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,9013
indep_cdab,1612213096,exp.independent.yes.conditional,3,Does Marc have a lammor? ,Yes,16869
indep_cdab,1612213096,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,8615
indep_cdab,1612213096,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,7308
indep_cdab,1612213096,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,4452
indep_cdab,1612213096,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,5523
indep_cdab,1612213096,exp.independent.yes.conditional,8,Does Rita have a hoopler? ,Yes,12803
indep_cdab,1612213096,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,4280
indep_cdab,1612213096,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,4164
indep_cdab,1612213096,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,4617
indep_cdab,1612213096,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,3505
indep_cdab,1612213096,exp.independent.yes.conditional,13,Does Cece have a dord? ,Yes,9394
indep_cdab,1612213096,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,3396
indep_cdab,1612213096,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,4095
indep_cdab,1612213096,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,3410
indep_cdab,1612213096,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,6214
indep_cdab,1612213096,exp.independent.yes.conditional,18,Does Helen have a lealo? ,Yes,9276
indep_cdab,1612213096,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,3862
indep_cdab,1612213096,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,Yes,18363
indep_cdab,1612214209,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,12428
indep_cdab,1612214209,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,7799
indep_cdab,1612214209,exp.independent.yes.conditional,3,Does Marc have a lammor? ,No,9578
indep_cdab,1612214209,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,6067
indep_cdab,1612214209,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,37692
indep_cdab,1612214209,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,7852
indep_cdab,1612214209,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,3900
indep_cdab,1612214209,exp.independent.yes.conditional,8,Does Rita have a hoopler? ,Yes,20827
indep_cdab,1612214209,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,4415
indep_cdab,1612214209,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,4366
indep_cdab,1612214209,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,4108
indep_cdab,1612214209,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,5895
indep_cdab,1612214209,exp.independent.yes.conditional,13,Does Cece have a dord? ,Yes,22547
